sentenceId,raw_text,aspectTerms,aspectCategories
1,"The air conditioning is poorly maintained, making the facilities experience frustrating.","[{'term': 'air conditioning', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'negative'}]"
2,"The equipment hygiene is poorly maintained, making the cleanliness experience frustrating.","[{'term': 'equipment hygiene', 'polarity': 'negative'}]","[{'category': 'cleanliness', 'polarity': 'negative'}]"
3,"The air conditioning is okay, neither too good nor too bad in terms of facilities.","[{'term': 'air conditioning', 'polarity': 'neutral'}]","[{'category': 'facilities', 'polarity': 'neutral'}]"
4,"The air conditioning is poorly maintained, making the facilities experience frustrating.","[{'term': 'air conditioning', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'negative'}]"
5,"The gym floor is poorly maintained, making the cleanliness experience frustrating.","[{'term': 'gym floor', 'polarity': 'negative'}]","[{'category': 'cleanliness', 'polarity': 'negative'}]"
6,"The treadmills at this gym is excellent, providing great equipment for everyone.","[{'term': 'treadmills', 'polarity': 'positive'}]","[{'category': 'equipment', 'polarity': 'positive'}]"
7,"The background music at this gym is excellent, providing great environment for everyone.","[{'term': 'background music', 'polarity': 'positive'}]","[{'category': 'environment', 'polarity': 'positive'}]"
8,"The membership cost is poorly maintained, making the pricing experience frustrating.","[{'term': 'membership cost', 'polarity': 'negative'}]","[{'category': 'pricing', 'polarity': 'negative'}]"
9,"The locker rooms at this gym is excellent, providing great facilities for everyone.","[{'term': 'locker rooms', 'polarity': 'positive'}]","[{'category': 'facilities', 'polarity': 'positive'}]"
10,"The gym floor is poorly maintained, making the cleanliness experience frustrating.","[{'term': 'gym floor', 'polarity': 'negative'}]","[{'category': 'cleanliness', 'polarity': 'negative'}]"
11,"The equipment hygiene is okay, neither too good nor too bad in terms of cleanliness.","[{'term': 'equipment hygiene', 'polarity': 'neutral'}]","[{'category': 'cleanliness', 'polarity': 'neutral'}]"
12,"The machines is poorly maintained, making the equipment experience frustrating.","[{'term': 'machines', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'negative'}]"
13,"The crowdedness is poorly maintained, making the availability experience frustrating.","[{'term': 'crowdedness', 'polarity': 'negative'}]","[{'category': 'availability', 'polarity': 'negative'}]"
14,"The staff at this gym is excellent, providing great service for everyone.","[{'term': 'staff', 'polarity': 'positive'}]","[{'category': 'service', 'polarity': 'positive'}]"
15,"The background music is okay, neither too good nor too bad in terms of environment.","[{'term': 'background music', 'polarity': 'neutral'}]","[{'category': 'environment', 'polarity': 'neutral'}]"
16,"The showers is okay, neither too good nor too bad in terms of facilities.","[{'term': 'showers', 'polarity': 'neutral'}]","[{'category': 'facilities', 'polarity': 'neutral'}]"
17,"The background music at this gym is excellent, providing great environment for everyone.","[{'term': 'background music', 'polarity': 'positive'}]","[{'category': 'environment', 'polarity': 'positive'}]"
18,"The dumbbells is okay, neither too good nor too bad in terms of equipment.","[{'term': 'dumbbells', 'polarity': 'neutral'}]","[{'category': 'equipment', 'polarity': 'neutral'}]"
19,"The gym floor is poorly maintained, making the cleanliness experience frustrating.","[{'term': 'gym floor', 'polarity': 'negative'}]","[{'category': 'cleanliness', 'polarity': 'negative'}]"
20,"The locker rooms is poorly maintained, making the facilities experience frustrating.","[{'term': 'locker rooms', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'negative'}]"
21,"The personal trainers at this gym is excellent, providing great service for everyone.","[{'term': 'personal trainers', 'polarity': 'positive'}]","[{'category': 'service', 'polarity': 'positive'}]"
22,"The sanitation at this gym is excellent, providing great safety for everyone.","[{'term': 'sanitation', 'polarity': 'positive'}]","[{'category': 'safety', 'polarity': 'positive'}]"
23,"The security at this gym is excellent, providing great safety for everyone.","[{'term': 'security', 'polarity': 'positive'}]","[{'category': 'safety', 'polarity': 'positive'}]"
24,"The machine availability at this gym is excellent, providing great availability for everyone.","[{'term': 'machine availability', 'polarity': 'positive'}]","[{'category': 'availability', 'polarity': 'positive'}]"
25,"The security at this gym is excellent, providing great safety for everyone.","[{'term': 'security', 'polarity': 'positive'}]","[{'category': 'safety', 'polarity': 'positive'}]"
26,"The gym atmosphere at this gym is excellent, providing great environment for everyone.","[{'term': 'gym atmosphere', 'polarity': 'positive'}]","[{'category': 'environment', 'polarity': 'positive'}]"
27,"The gym atmosphere is poorly maintained, making the environment experience frustrating.","[{'term': 'gym atmosphere', 'polarity': 'negative'}]","[{'category': 'environment', 'polarity': 'negative'}]"
